gvkey,entity_pname,has_funda_data,conm,sic,naics,spcindcd,spcseccd,fic
008430,American Premier Underwriters Inc.,True,PENN CENTRAL CO,4011,,,,USA
008528,PharMerica Inc.,True,PHARMACY CORP OF AMERICA INC,5122,422210,280,905,USA
008541,Philadelphia Life Insurance Co.,True,PHILADELPHIA LIFE INS CO,6311,,825,800,USA
008556,Claymont Steel Inc.,True,PHOENIX STEEL CORP,3312,,460,970,USA
008575,Piedmont Aviation Inc.,True,PIEDMONT AVIATION INC,4512,481111,605,600,USA
008739,Reynolds Consumer Products Inc.,True,PRESTO PRODUCTS INC,3080,,355,925,USA
008821,Pullman Leasing Co.,True,PULLMAN LEASING CO,6172,522220,850,800,USA
009077,Reserve Oil & Gas Co.,True,RESERVE OIL & GAS CO,5171,,355,925,USA
009377,St. Louis-San Francisco Railway,True,ST LOUIS-SAN FRAN RAILWAY,4011,525,610,600,USA
009381,St. Regis Corp.,True,ST REGIS CORP,2621,,400,970,USA
009389,Samsonite Group S.A.,True,SAMSONITE CORP  -OLD,3100,,355,925,USA
009427,B.F Saul Real Estate Investment Trust,True,SAUL (B.F.) REAL ESTATE INV,6798,999990,850,800,USA
009547,Joseph E. Seagram & Sons Inc.,True,SEAGRAM (JOSEPH E.) & SONS,2080,111332,145,978,USA
009575,Security Life of Denver Insurance Co.,True,SECURITY LIFE DENVER INS CO,6311,524,825,800,USA
009654,Shell Pipe Line Corp.,True,SHELL PIPE LINE CORP,4610,486,395,935,USA
009775,GlaxoSmithKline LLC,True,SMITHKLINE BECKMAN CORP,2834,325412,285,905,USA
009801,Coinmach Corp.,True,SOLON AUTOMATED SERVICES INC,7200,,175,976,USA
009889,Southwest Forest Industries Inc.,True,SOUTHWEST FOREST INDUSTRIES,2621,322121,400,970,USA
009978,Stamford Water Co.,True,STAMFORD WATER CO,4941,2213,725,700,USA
010001,Standard Oil Co.,True,STANDARD OIL CO,2911,324110,390,935,USA
010055,Stellex Technologies Inc.,True,STELLEX INDUSTRIES INC,3559,541330,247,940,USA
010227,Apogent Technologies Inc.,True,SYBRON CORP  -OLD,3843,339114,300,905,USA
010562,Ticor Title Insurance Co.,True,TICOR,6361,,850,800,USA
010696,Transamerica Occidental Life Insurance Co.,True,TRANSAMERICA OCCIDENTAL LIFE,6311,524113,825,800,USA
010698,Transwestern Pipeline Co LLC,True,TRANSWESTERN PIPELINE CO,4922,211111,710,700,USA
010811,UOP LLC,True,UOP INC,3350,,358,925,USA
010818,USM Corp.,True,USM CORP,3559,,247,940,USA
010900,Gulf South Pipeline Co. LLC,True,UNITED GAS PIPELINE CO,4922,486210,710,700,USA
010927,Trizec Hahn Corp.,True,UNITED SISCOE MINES INC,1000,,360,970,USA
010954,U.S. Leasing Corp.,True,U S LEASING CORP,6172,522220,850,800,USA
011052,Utah Power & Light Co.,True,UTAH POWER & LIGHT,4911,2211,705,700,USA
011254,Wagner Electric Corp.,True,WAGNER ELECTRIC CORP,3714,,130,976,USA
011405,Western Maryland Railway,True,WESTERN MARYLAND RAILWAY CO,4011,,610,600,USA
011504,American Pad & Paper Co. of Delaware Inc.,True,WILLIAMHOUSE REGENCY INC,2670,3222,210,970,USA
011653,Yonkers Racing Corp.,True,YONKERS RACEWAY INC,7948,,262,976,USA
012462,Hamilton Beach Brands Inc.,True,WEAREVER-PROCTOR SILEX INC,3634,335211,315,976,USA
012579,21st Century Fox America Inc.,True,NEWS AMERICA HOLDINGS CO,2711,511110,415,976,USA
012687,St. Joe Minerals Corp.,True,ST JOE GOLD CORP,1040,212221,265,970,USA
013084,Aristech Chemical Corp.,True,ARISTECH CHEMICAL CORP,2821,325211,167,970,USA
013560,Ellco Leasing Corp.,True,EQUITABLE LOMAS LEASING CP,7377,532420,454,940,USA
013647,Colorado Prime Corp.,True,COLORADO PRIME CORP,5960,454390,449,976,USA
013851,Hewlett-Packard Finance Co.,True,HEWLETT-PACKARD FINANCE CO,6153,522220,850,800,USA
013905,Penske Truck Leasing Co. L.P.,True,HERTZ PENSKE TRUCK LEASING,7510,5321,175,976,USA
014109,OXY Petrochemicals Inc.,True,CAIN CHEMICAL  -CL A,2860,3251,167,970,USA
014291,Sony Pictures Entertainment Inc.,True,COLUMBIA PICTURES ENTMNT INC,7812,512110,245,978,USA
014393,Noverco Inc.,True,NOVERCO INC,4924,221210,710,700,CAN
014570,Easco Corp.,True,EASCO CORP-NEW,3350,331316,358,925,USA
014612,Argo Group US Inc.,False,ARGO GROUP INTL 6.5 SR NT 42,,,,,
014838,Pamida Inc.,True,PAMIDA INC-DEL,5331,452990,432,976,USA
014956,SnyderGeneral Corp.,True,SNYDERGENERAL CORP,3585,333415,345,925,USA
015121,Nissan Motor Acceptance Co. LLC,True,NISSAN MOTOR ACCEPTANCE CORP,6141,522220,845,800,USA
015245,Exxon Capital Holdings Corp.,True,EXXON CAPITAL HOLDINGS CORP,4610,486,395,935,USA
015270,Webcraft Technologies Inc.,True,WEBCRAFT TECHNOLOGIES INC,2750,32311,458,978,USA
015309,Northwest Airlines Inc.,True,NORTHWEST AIRLINES INC,4512,481111,605,600,USA
015482,Credit Lyonnais,False,,,,,,
015483,Daiwa Securities Group Inc.,False,DAIWA SECURITIES GROUP INC,6211,523120,822,800,JPN
015484,Mitsubishi UFJ Trust and Banking Corp.,False,,,,,,
015498,Hang Seng Bank Ltd.,False,HANG SENG BANK LTD,6020,522110,810,800,HKG
015499,Hokkaido Takushoku Bank Ltd.,False,,,,,,
015511,Hokuriku Bank Ltd.,False,,,,,,
015512,ASR Nederland N.V.,False,,,,,,
015515,Banco Espanol de Credito S.A.,False,BANCO ESP DE CREDITO,6020,522110,810,800,ESP
015516,Banca Commerciale Italiana SpA,False,,,,,,
015522,Banco Popular Espanol S.A.,False,,,,,,
015528,Bank of Scotland PLC,False,,,,,,
015529,Bank of New Zealand,False,,,,,,
015530,Bank of East Asia Ltd. (The),False,BANK OF EAST ASIA LTD,6020,522110,810,800,HKG
015531,Banque Cantonale Vaudoise,False,,,,,,
015535,Basler Kantonalbank,False,,,,,,
015538,Den norske Bank ASA,False,DNB ASA,6020,522110,810,800,NOR
015540,Pearl Group Holdings (No 1) Ltd,False,,,,,,
015546,Credit Foncier de France,False,,,,,,
015547,Natixis S.A.,False,NATIXIS,6020,522110,810,800,FRA
015549,UniCredit SpA,False,UNICREDIT SPA,6020,522110,810,800,ITA
015549,UniCredit Corporate Banking SpA,False,UNICREDIT SPA,6020,522110,810,800,ITA
015551,Aioi Insurance Co. Ltd.,False,,,,,,
015553,Aioi Nissay Dowa Insurance Co. Ltd.,False,,,,,,
015553,Nissay Dowa General Insurance Co. Ltd.,False,,,,,,
015554,Edinburgh Investment Trust PLC,False,,,,,,
015556,Fuji Bank Ltd.,False,,,,,,
015560,The Fuji Fire & Marine Insurance Co. Ltd.,False,,,,,,
015562,Bank Cler AG,False,,,,,,
015567,Gunma Bank Ltd.,False,,,,,,
015570,Compagnie Bancaire,False,,,,,,
015573,ING Belgium S.A./N.V.,False,,,,,,
015575,Commerzbank AG,False,COMMERZBANK AG,6020,522110,810,800,DEU
015578,Mannheimer AG Holding,False,,,,,,
015579,Bank of Yokohama Ltd.,False,CONCORDIA FINANCIAL GROUP,6020,522110,810,800,JPN
015584,Ageas N.V.,False,,,,,,
015586,Banco di Napoli SpA,False,,,,,,
015589,Paribas S.A.,False,,,,,,
015589,Compagnie Financiere de Paribas,False,,,,,,
015590,Basellandschaftliche Kantonalbank,False,,,,,,
015593,Mediobanca SpA,False,MEDIOBANCA BANCA DI CREDITO,6020,522110,810,800,ITA
015594,MEPC Ltd.,False,,,,,,
015596,Graubuendner Kantonalbank,False,,,,,,
015599,Bayerische Hypotheken- und Wechsel-Bank AG,False,,,,,,
015600,Jyske Bank A/S,False,,,,,,
015601,Asahi Bank Ltd.,False,,,,,,
015603,Legal & General Group PLC,False,LEGAL & GEN GROUP PLC,6311,524113,825,800,GBR
015608,Pohjola Group PLC,False,,,,,,
015609,Overseas Union Bank Ltd.,False,,,,,,
015610,Nichido Fire & Marine Insurance Co. Ltd.,False,,,,,,
015611,"NZI Corp., Ltd.",False,,,,,,
015616,Nikko Securities Co. Ltd.,False,NIKKO CORDIAL CORP,6211,523120,822,800,JPN
015618,Nedbank Group Ltd.,False,NEDBANK GROUP LTD,6020,522110,810,800,ZAF
015619,ING Groep N.V.,False,,,,,,
015621,Mutual & Federal Insurance Co. Ltd.,False,,,,,,
015624,Sakura Bank Ltd.,False,,,,,,
015625,Mitsubishi Estate Co. Ltd.,False,MITSUBISHI ESTATE CO LTD,6512,531120,305,976,JPN
015626,Chuo Mitsui Trust & Banking Co. Ltd.,False,,,,,,
015626,Mitsui Trust & Banking Co. Ltd.,False,,,,,,
015632,Public Bank Bhd.,False,,,,,,
015638,Schroders PLC,False,,,,,,
015640,Skandia Insurance Co. Ltd.,False,,,,,,
015645,Standard Chartered PLC,False,STANDARD CHARTERED PLC,6020,522110,810,800,GBR
015647,Storebrand ASA,False,,,,,,
015650,Sumitomo Marine & Fire Insurance Co. Ltd.,False,,,,,,
015651,Sumitomo Mitsui Trust Bank Ltd.,False,,,,,,
015654,Svenska Handelsbanken AB,False,SVENSKA HANDELSBANKEN,6020,522110,810,800,SWE
015655,Svenska Kreditforsakringsaktiebolaget,False,,,,,,
015657,Tat Lee Bank Ltd.,False,,,,,,
015658,Tokai Bank Ltd.,False,,,,,,
015660,UFJ Trust Bank Ltd.,False,,,,,,
015662,Resona Bank Ltd.,False,,,,,,
015662,Daiwa Bank Ltd.,False,,,,,,
015669,Mizuho Trust & Banking Co. Ltd.,False,,,,,,
015669,Mizuho Asset Trust & Banking Co. Ltd.,False,,,,,,
015670,"Yamaichi Securities Co., Ltd.",False,,,,,,
015671,Skandinaviska Enskilda Banken AB (publ),False,SKANDINAVISKA ENSKILDA BANK,6020,522110,810,800,SWE
015673,Credit Suisse AG,False,,,,,,
015673,Credit Suisse First Boston,False,,,,,,
015674,Zurich Insurance Co. Ltd.,False,,,,,,
015677,Munich Reinsurance Co.,False,MUNICH RE CO,6311,524130,825,800,DEU
015678,Luzerner Kantonalbank,False,,,,,,
015681,ERGO Group AG,False,,,,,,
015682,Allianz Elementar Versicherungs - AG,False,,,,,,
015684,International Credit Ins. Corp.,False,,,,,,
015685,Industrial Bank of Japan Ltd.,False,,,,,,
015688,Malayan Banking Bhd.,False,MALAYAN BANKING BERHAD,6020,522110,810,800,MYS
015691,Allianz Suisse Versicherungs - Gesellschaft,False,,,,,,
015695,FirstRand Bank Ltd.,False,,,,,,
015698,Japan Securities Finance Co. Ltd.,False,,,,,,
015699,Investor AB,False,INVESTOR AB PUBL,6799,523999,850,800,SWE
015701,"La Suisse, Societe d'Assurances sur la Vie",False,,,,,,
015702,Irish Bank Resolution Corporation Limited,False,,,,,,
015703,KBC Group N.V.,False,KBC GROUP NV,6020,522110,810,800,BEL
015703,Kredietbank N.V.,False,KBC GROUP NV,6020,522110,810,800,BEL
015722,Banco Atlantico S.A.,False,,,,,,
015723,Ausonia Assicurazioni SpA,False,,,,,,
015725,Allianz Lebensversicherungs AG,False,,,,,,
015726,Banca Nazionale del Lavoro SpA (former),False,,,,,,
015727,Capitalia SpA,False,,,,,,
015728,Banco Exterior de Espana S.A.,False,,,,,,
015730,Oberbank AG,False,,,,,,
015734,Banque Nationale de Belgique,False,,,,,,
015736,SBI Shinsei Bank Ltd.,False,,,,,,
015738,Nissan Fire & Marine Insurance Co. Ltd.,False,,,,,,
015742,RHB Bank Bhd.,False,,,,,,
015745,Credito Emiliano SpA,False,,,,,,
015748,Chiba Bank Ltd.,False,,,,,,
015749,Hysan Development Co. Ltd.,False,,,,,,
015753,Oversea-Chinese Banking Corp. Ltd.,False,OVERSEA CHINESE BANKING,6200,523,810,800,SGP
015756,QBE Insurance Group Ltd.,False,QBE INSURANCE GROUP LIMITED,6311,5241,835,800,AUS
015773,Sampo PLC,False,SAMPO PLC,6331,5241,835,800,FIN
015785,AXA Versicherungen AG,False,,,,,,
015787,Toro Assicurazioni SpA,False,,,,,,
015788,Swiss Bank Corp.,False,,,,,,
015807,Banca Toscana SpA,False,,,,,,
015809,"Banco Pastor, S.A.",False,,,,,,
015811,Mizuho Securities Co. Ltd.,False,,,,,,
015812,Nisshin Fire & Marine Insurance Co. Ltd.,False,,,,,,
015814,Refuge Assurance Plc,False,,,,,,
015818,My Money Bank,False,,,,,,
015826,La Fondiaria Assicurazioni SpA,False,,,,,,
015829,Eurohypo AG-Europaeische Hypothekenbank der Deutschen Bank,False,,,,,,
015829,Frankfurter Hypothekenbank Centralboden AG,False,,,,,,
015834,Interunfall Versicherung AG,False,,,,,,
015839,Lloyd Adriatico SpA,False,,,,,,
015845,Sophia,False,,,,,,
015846,Bankinter S.A.,False,BANKINTER SA,6020,522110,810,800,ESP
015862,Unipol Gruppo Finanziario SpA,False,UNIPOL ASSICURAZIONI SPA,6331,524126,835,800,ITA
015863,Nordea Bank Abp,False,,,,,,
015865,Zuger Kantonalbank,False,,,,,,
015866,Generali Holding Vienna AG,False,,,,,,
015869,Milano Assicurazioni SpA,False,,,,,,
015875,NIPPONKOA Insurance Co. Ltd.,False,,,,,,
015883,Bank of Aland PLC,False,,,,,,
015890,Alleanza Toro S.p.A,False,,,,,,
015890,Alleanza Assicurazioni SpA,False,,,,,,
015894,BKS Bank AG,False,,,,,,
015902,Chiyoda Fire & Marine Insurance Co. Ltd.,False,,,,,,
015910,Mercantile Investment Trust PLC (The),False,,,,,,
015911,Societe Fonciere Lyonnaise S.A.,False,,,,,,
015912,GPT Group,False,,,,,,
015914,UnipolSai Assicurazioni,False,,,,,,
015926,Joyo Bank Ltd.,False,,,,,,
015930,AGF Union-Fenix Seguros y Reaseguros S.A.,False,,,,,,
015932,Westfield Corp.,False,WESTFIELD CORP,6798,531120,305,976,AUS
015933,Sompo Japan Insurance Inc.,False,,,,,,
015934,General Reinsurance AG,False,,,,,,
015936,Klepierre S.A.,False,KLEPIERRE SA,6798,531120,305,976,FRA
015937,77 Bank Ltd.,False,,,,,,
015945,CA Auto Bank SpA,False,,,,,,
016174,Generali Italia SpA,False,,,,,,
016174,Assitalia - le Assicurazioni d'Italia,False,,,,,,
016189,Stockland,False,,,,,,
016196,LGT Bank AG,False,,,,,,
016198,Santander Consumer Finance S.A.,False,,,,,,
016204,BNP Paribas Personal Finance,False,,,,,,
016216,Berner Allgemeine Vers.Ges. AG,False,,,,,,
016242,"LaSalle Bank, FSB",False,TALMAN HOME FED SAVINGS & LN,6726,525990,,,USA
016258,Schweizerische National Vers.Ges.,False,,,,,,
016267,Leonardo SpA,False,LEONARDO SPA,3721,336411,110,925,ITA
016276,Credit Universel,False,,,,,,
016278,Countrywide Banking Corp. Ltd.,False,,,,,,
016281,Mapfre S.A.,False,,,,,,
016285,Entenial,False,,,,,,
016301,Tokyo Tatemono Co. Ltd.,False,,,,,,
016310,VP Bank AG,False,,,,,,
016316,Green Property Ltd.,False,,,,,,
016330,UniCredit Leasing SpA,False,,,,,,
016331,Exor N.V.,False,EXOR N V,9998,551112,460,970,NLD
016331,EXOR SpA,False,EXOR N V,9998,551112,460,970,NLD
016334,Jardine Strategic Holdings Ltd.,False,JARDINE STRATEGIC LIMITED,9997,999977,440,978,BMU
016346,"Metrovacesa, S.A.",False,,,,,,
016365,Bank J. Safra Sarasin Ltd.,False,,,,,,
016382,Parmalat Finanziaria SpA,False,,,,,,
016383,Unibail-Rodamco-Westfield SE,False,UNIBAIL RODAMCO WESTFIELD SE,6798,531120,305,976,FRA
016385,Allianz SpA,False,,,,,,
016385,Allianz Subalpina SpA,False,,,,,,
016386,Vittoria Assicurazioni SpA,False,,,,,,
016388,Locindus S.A.,False,,,,,,
016390,La Previdente Assicurazioni SpA,False,,,,,,
016397,Fideuram - Intesa Sanpaolo Private Banking SpA,False,,,,,,
016398,Citycon Oyj,False,,,,,,
016399,Hitachi Capital Corp.,False,,,,,,
016400,Nordea Bank Norge ASA,False,,,,,,
016447,Ageas SA/NV,False,AGEAS SA/NV,6311,5241,850,800,BEL
016447,Ageas (consolidated),False,AGEAS SA/NV,6311,5241,850,800,BEL
016449,Danske Bank A/S,False,,,,,,
016450,Scentre Group Trust 1,False,,,,,,
016591,Hopewell Holdings Ltd.,False,HOPEWELL HOLDINGS LTD,6510,531,305,976,HKG
016621,Wharf (Holdings) Ltd.,False,THE WHARF (HOLDINGS) LTD,6500,531,305,976,HKG
016726,Employers Casualty Co.,False,EMPLOYERS CASUALTY CO,6331,524126,,,USA
016906,Kentucky Central Life Insurance Co.,False,KENTUCKY CENTRAL LIFE INS CO,6311,524113,,,USA
017404,Associated British Foods PLC,False,ASSOCIATED BRITISH FOODS PLC,2000,311,250,978,GBR
017629,"Burns, Philp & Co. Ltd.",False,,,,,,
017703,Casio Computer Co. Ltd.,False,,,,,,
017774,Comalco Ltd.,False,,,,,,
017827,Dai Nippon Printing Co. Ltd.,False,DAI NIPPON PRINTING CO LTD,2750,32311,410,976,JPN
017830,Daiwa House Industry Co. Ltd.,False,DAIWA HOUSE INDUSTRY CO LTD,1520,2361,305,976,JPN
017965,Sino-Forest Corp.,False,EMERALD PLANTATION HOLDINGS,0800,115310,,,CYM
018526,Hong Kong and China Gas Co. Ltd. (The),False,HONG KONG AND CHINA GAS COMP,4923,221210,710,700,HKG
018687,Hitachi Cable Ltd.,False,,,,,,
018709,Kajima Corp.,False,KAJIMA CORP,1600,237,240,925,JPN
018715,Kao Corp.,False,KAO CORP,2840,3256,320,978,JPN
018716,JFE Steel Corp.,False,,,,,,
018716,Kawasaki Steel Corp.,False,,,,,,
018754,Kumagai Gumi Co. Ltd.,False,,,,,,
018766,Ladbrokes Coral Group PLC,False,LADBROKES CORAL GROUP PLC,7990,7132,262,976,GBR
018877,Meiji Seika Kaisha Ltd.,False,,,,,,
019002,Minebea Co. Ltd.,False,MINEBEA MITSUMI INC,3562,332991,220,925,JPN
019045,Mitsubishi Chemical Holdings Corp.,False,MITSUBISHI CHEMICAL GROUP,2800,325,167,970,JPN
019045,Mitsubishi Rayon Co. Ltd.,False,MITSUBISHI CHEMICAL GROUP,2800,325,167,970,JPN
